org_id,org_link,org_name,org_url,address_street,phone_number,po_box,city,state,zip
139,/find-your-local-foodbank/food-bank-of-northwest-indiana-inc.html,"Food Bank of Northwest Indiana, Inc.",http://www.foodbanknwi.org/,6490 Broadway,219-980-1777,,Merrillville,IN,46410
102,/find-your-local-foodbank/second-harvest-food-bank-of-east-central-indiana-inc.html,"Second Harvest Food Bank of East Central Indiana, Inc.",http://www.curehunger.org,6621 N. Old SR 3,765-287-8698,,Muncie,IN,47303
278,/find-your-local-foodbank/food-bank-of-northern-indiana.html,Food Bank of Northern Indiana,http://www.feedindiana.org,702 South Chapin Street,574-232-9986,,Bend,IN,46601
196,/find-your-local-foodbank/terre-haute-catholic-charities-foodbank.html,Terre Haute Catholic Charities Foodbank,http://www.archindy.org/cc/terrehaute/programs-foodbank.html,430 N 14th 1/2 St,812-235-3424,,Haute,IN,47807
208,/find-your-local-foodbank/kansas-food-bank.html,Kansas Food Bank,http://www.kansasfoodbank.org,1919 E. Douglas,316-265-3663,,Wichita,KS,67211
124,/find-your-local-foodbank/feeding-america-kentuckys-heartland.html,"Feeding America, Kentucky’s Heartland",http://www.feedingamericaky.org,"313 Peterson Dr.,",270-769-6997,PO Box 821,Elizabethtown,KY,42701
124,/find-your-local-foodbank/feeding-america-kentuckys-heartland.html,Purchase Area Development District Food Bank,http://www.purchaseadd.org,"1002 Medical Drive, P.O. Box 588",270-247-7171,PO Box 821,Mayfield,KY,42066
156,/find-your-local-foodbank/gods-pantry-food-bank-inc.html,"God's Pantry Food Bank, Inc.",http://www.godspantry.org,1685 Jaggie Fox Way,859-255-6592,,Lexington,KY,40511
46,/find-your-local-foodbank/dare-to-care-food-bank.html,Dare to Care Food Bank,http://www.daretocare.org,5803 Fern Valley Road,502-966-3821,PO Box 35458,Louisville,KY,40232
276,/find-your-local-foodbank/food-bank-of-central-louisiana.html,Food Bank of Central Louisiana,http://www.fbcenla.org,3223 Baldwin Avenue,318-445-2773,,Alexandria,LA,71301
298,/find-your-local-foodbank/greater-baton-rouge-food-bank.html,Greater Baton Rouge Food Bank,http://www.brfoodbank.org,10600 S. Choctaw Drive,225-359-9940,Post Office Box 45830,Rouge,LA,70815
339,/find-your-local-foodbank/food-bank-of-northeast-louisiana.html,Food Bank of Northeast Louisiana,http://www.foodbanknela.org/,4600 Central Ave,318-322-3567,PO Box 5048,Monroe,LA,71211
57,/find-your-local-foodbank/second-harvest-food-bank-of-greater-new-orleans-and-acadiana.html,Second Harvest Food Bank of Greater New Orleans and Acadiana,http://www.no-hunger.org,700 Edwards Avenue,504-734-1322,,Orleans,LA,70123
326,/find-your-local-foodbank/food-bank-of-northwest-louisiana.html,Food Bank of Northwest Louisiana,http://www.foodbanknla.org/,2307 Texas Avenue,318-675-2400,,Shreveport,LA,71103
9,/find-your-local-foodbank/the-greater-boston-food-bank.html,The Greater Boston Food Bank,http://www.gbfb.org,70 South Bay Ave,617-427-5200,,Boston,MA,02118
35,/find-your-local-foodbank/the-food-bank-of-western-massachusetts.html,The Food Bank of Western Massachusetts,http://www.foodbankwma.org,97 North Hatfield Road,413-247-9738,PO Box 160,Hatfield,MA,01038
186,/find-your-local-foodbank/worcester-county-food-bank-inc.html,"Worcester County Food Bank, Inc.",http://www.foodbank.org,474 Boston Turnpike,508-842-3663,,Shrewsbury,MA,01545
7,/find-your-local-foodbank/maryland-food-bank.html,Maryland Food Bank,http://www.mdfoodbank.org,2200 Halethorpe Farms Road,410-737-8282,,Baltimore,MD,21227
259,/find-your-local-foodbank/good-shepherd-food-bank.html,Good Shepherd Food Bank,http://www.gsfb.org,3121 Hotel Road,207-782-3554,PO Box 1807,Auburn,ME,04211
305,/find-your-local-foodbank/food-gatherers.html,Food Gatherers,http://www.foodgatherers.org,1 Carrot Way,734-761-2796,P.O. Box 131037,Arbor,MI,48105
105,/find-your-local-foodbank/south-michigan-food-bank.html,South Michigan Food Bank,http://smfoodbank.org/,5451 Wayne Road,269-964-3663,P.O. Box 408,Creek,MI,49016
34,/find-your-local-foodbank/feeding-america-west-michigan-food-bank.html,Feeding America West Michigan Food Bank,http://www.FeedWM.org,864 West River Center Drive,616-784-3250,,Park,MI,49321
34,/find-your-local-foodbank/feeding-america-west-michigan-food-bank.html,The Manna Food Project,http://mannafoodproject.org/,291 McBride Park Court,231-347-8852,,Springs,MI,49740
34,/find-your-local-foodbank/feeding-america-west-michigan-food-bank.html,Western Upper Peninsula Food Bank - BHKCAA,http://www.bhkcaa.org,962 Dodge Street,906-482-5548,,Houghton,MI,49931
27,/find-your-local-foodbank/gleaners-community-food-bank-of-southeastern-michigan.html,Gleaners Community Food Bank of Southeastern Michigan,http://www.gcfb.org,2131 Beaufait Street,313-923-3535,,Detroit,MI,48207
27,/find-your-local-foodbank/gleaners-community-food-bank-of-southeastern-michigan.html,"Monroe County Opportunity Program (MCOP)
",http://www.monroecountyop.org,1140 S. Telegraph Rd,734-241-2775,,Monroe,MI,48161
27,/find-your-local-foodbank/gleaners-community-food-bank-of-southeastern-michigan.html,Macomb Food Program,https://mca.macombgov.org/MCA-ES-Food,"21885 Dunham Road, Suite 10",586-469-6004,,Township,MI,48036
30,/find-your-local-foodbank/food-bank-of-eastern-michigan.html,Food Bank of Eastern Michigan,http://www.fbem.org,2300 Lapeer Road,810-239-4441,,Flint,MI,48503
154,/find-your-local-foodbank/greater-lansing-food-bank.html,Greater Lansing Food Bank,http://www.greaterlansingfoodbank.org,919 Filley St.,517-853-7800,,Lansing,MI,48906
306,/find-your-local-foodbank/forgotten-harvest.html,Forgotten Harvest,http://www.forgottenharvest.org,21800 Greenfield Road,248-967-1500,,Park,MI,48237
218,/find-your-local-foodbank/second-harvest-northern-lakes-food-bank.html,Second Harvest Northern Lakes Food Bank,http://www.northernlakesfoodbank.org,4503 Airpark Boulevard,218-727-5653,,Duluth,MN,55811
119,/find-your-local-foodbank/north-country-food-bank-inc.html,"North Country Food Bank, Inc.",http://northcountryfoodbank.org,1011 11th Ave. NE,218-399-7356,,Forks,MN,56721
140,/find-your-local-foodbank/second-harvest-north-central-food-bank.html,Second Harvest North Central Food Bank,http://www.secondharvestncfb.com,2222 Cromell Drive,218-326-4420,PO Box 5130,Rapids,MN,55744
177,/find-your-local-foodbank/channel-one-food-bank.html,Channel One Food Bank,http://www.helpingfeedpeople.org,"131 35th Street, SE",507-424-1700,,Rochester,MN,55904
86,/find-your-local-foodbank/second-harvest-heartland.html,Second Harvest Heartland,http://www.2harvest.org,1140 Gervais Avenue,651-484-5117,,Paul,MN,55109
86,/find-your-local-foodbank/second-harvest-heartland.html,Feed My People Food Bank,http://www.fmpfoodbank.org,2610 Alpine Road,715-835-9415,,Claire,WI,54703
85,/find-your-local-foodbank/st-louis-area-foodbank.html,St. Louis Area Foodbank,http://stlfoodbank.org/,70 Corporate Woods Drive,314-292-6262,,Bridgeton,MO,63044
116,/find-your-local-foodbank/the-food-bank-for-central-and-northeast-missouri.html,The Food Bank for Central & Northeast Missouri,http://www.sharefoodbringhope.org,"2101 Vandiver Drive, Suite B",573-474-1020,,Columbia,MO,65202
40,/find-your-local-foodbank/harvesters-the-community-food-network.html,Harvesters - The Community Food Network,http://www.harvesters.org,3801 Topping Avenue,816-929-3000,,City,MO,64129
187,/find-your-local-foodbank/southeast-missouri-food-bank.html,Southeast Missouri Food Bank,http://www.semofoodbank.org,600 State Highway H,855-703-3663,PO Box 190,Sikeston,MO,63801
192,/find-your-local-foodbank/ozarks-food-harvest.html,Ozarks Food Harvest,http://www.ozarksfoodharvest.org,2810 N. Cedarbrook Ave,417-865-3411,,Springfield,MO,65803
193,/find-your-local-foodbank/second-harvest-community-food-bank.html,Second Harvest Community Food Bank,http://www.shcfb.org,915 Douglas,816-364-3663,,Joseph,MO,64505
149,/find-your-local-foodbank/mississippi-food-network.html,Mississippi Food Network,http://www.msfoodnet.org,440 W. Beatty Street,601-973-7080,PO Box 411,Jackson,MS,39205
320,/find-your-local-foodbank/montana-food-bank-network.html,Montana Food Bank Network,http://www.mfbn.org,5625 Expressway,406-721-3825,,Missoula,MT,59808
103,/find-your-local-foodbank/manna-foodbank.html,MANNA FoodBank,http://www.mannafoodbank.org,627 Swannanoa River Rd,828-299-3663,,Asheville,NC,28805
14,/find-your-local-foodbank/second-harvest-food-bank-of-metrolina.html,Second Harvest Food Bank of Metrolina,http://www.secondharvestmetrolina.org/,500 B Spratt St.,704-376-1785,,Charlotte,NC,28206
123,/find-your-local-foodbank/food-bank-of-the-albemarle.html,Food Bank of the Albemarle,http://www.afoodbank.org,109 Tidewater Way,252-335-4035,P. O. Box 1704,City,NC,27906
134,/find-your-local-foodbank/second-harvest-food-bank-of-southeast-north-carolina.html,Second Harvest Food Bank of Southeast North Carolina,http://hungercantwait.org,"406 Deep Creek Road, PO Box 2009",910-485-8809,,Fayetteville,NC,28302
70,/find-your-local-foodbank/food-bank-of-central-and-eastern-north-carolina.html,Food Bank of Central & Eastern North Carolina,http://www.foodbankcenc.org,1924 Capital Boulevard,919-875-0707,,Raleigh,NC,27604
309,/find-your-local-foodbank/inter-faith-food-shuttle.html,Inter-Faith Food Shuttle,http://www.foodshuttle.org,1001 Blair Drive,919-250-0043,,Raleigh,NC,27620
97,/find-your-local-foodbank/second-harvest-food-bank-of-northwest-north-carolina.html,Second Harvest Food Bank of Northwest North Carolina,http://www.secondharvestnwnc.org/,3655 Reed Street,336-784-5770,,Salem,NC,27107
220,/find-your-local-foodbank/great-plains-food-bank.html,Great Plains Food Bank,http://www.greatplainsfoodbank.org/,1720 3rd Avenue North,701-232-6219,,Fargo,ND,58102
157,/find-your-local-foodbank/food-bank-of-lincoln-inc.html,"Food Bank of Lincoln, Inc.",http://www.lincolnfoodbank.org,"4840 Doris Bair Circle, Suite A",402-466-8170,,Lincoln,NE,68504
63,/find-your-local-foodbank/food-bank-for-the-heartland.html,Food Bank for the Heartland,http://www.foodbankheartland.org,10525  J Street,402-905-4802,,Omaha,NE,68127
