District Name,Dates Closed,School Meal Alternative,When & Where Meals Are Available,
Bells ISD,March 16 - April 3,Curbside Meal Pickup (Breakfast & Lunch) ,"*** Normal Cafeteria Pricing will apply***
Start Date: 3/19
When: Tuesday - Friday 7:30 AM - 8:30 AM
Where: Bells Elementary, Panther Apartments on McFarland, Bells City Hall, Housing close to park on Jernigan
Details: Breakfast/Lunch: Tues - Fri 7:30 am - 8:30 am
Pick up by the elementary school at the water garden gate
(East side of the building) 
Beginning 03/19-4/3/2020
Bells Elementary Pickup: 7:30 am – 8:00 am
Panther Apartments on McFarland: 8:05 am -8:20 am
Bells City Hall: 8:25 am – 8:40 am
Housing close to park on Jernigan 8:45 am – 9:00 am
Beginning Monday, March 23, 2020, a drop-off route will run
To children living outside Bells city limits. 
Please email Shannon Keating if you wish to have meals delivered.
Shannon.keating@bellsisd.net
",https://www.bellsisd.net/
Belton ISD,March 16-20,Curbside Meal Pickup (Breakfast & Lunch) ,"Start Date: 3/16                                                                                                                                                           When: Breakfast 7:30 AM - 9:00 AM ; Lunch 11:30 AM - 1:00 PM                                                                                                               Where: Miller Heights Elementary, Joe M. Pirtle Elementary School and BISD Southwest Elementary.                                                                 Details:  All students (up to 18 years old) will be provided two meals a day",https://www.facebook.com/BeltonISD/photos/rpp.96620621358/10157591187411359/?type=3&theater
Belville ISD,March 16-20,,,
Big Sandy ISD,March 16-27,,,http://www.bigsandyisd.org/
Birdville ISD,March 16- April 3,"Curbside Meal Pickup 
(Lunch)","Start Date: 3/17
When: 11:00 AM - 12:00 PM
Where: Birdville Elementary, Binion Elementary, West Bridville Elementary, and Watauga Elementary
Details:  BISD will provide pickup stations in front of the listed schools at the listed time for anyone age 18 and under. Lunch will be provided throughout the school closure. Students must be present to receive a meal. BISD will evaluate if additional meal sites are needed over the next few days.",https://www.birdvilleschools.net/covid19FreeMeals
Bishop Gorman ISD,March 16-20,,,
Blanket ISD,March 16-20,,,http://www.blanketisd.net
Bloomburg ISD,March 16-20,,,https://www.bloomburgisd.net/21165_1
Blooming Grove,March 16-20,,,https://www.bgisd.org/apps/news/article/1184226
Boerne ISD,March 16-20,Curbside Meal Pickup (Breakfast & Lunch) ,Start Date: 3/16                                                                                                                       When: Breakfast 7:00 AM -8:00 AM ; Lunch 11:00 AM -12:00 PM                                                                                                                                  Where: Boerne MS South and Curington ES.                                                                                                                                                               Details:  Meals will be given to children and families. ,https://www.boerneisd.net/
Bosqueville ISD,March 16-20,,,
Bonham ISD,March 16 - April 3,"Unspecified 
(Lunch)","Start Date: 3/17
When: Lunch -Tues -Fri 11:00 AM – 1:00 PM 
Where: Bonham High School (student parking lot), LH  Junior High, Boyd Baptist Church (3707 N Hwy 78 under the drive thru), Calvary Baptist Church (913 S 5th in the Fellowship Hall)
",
Brackett ISD,March 16-20,Walk-Up Meal Pickup (Lunch Only),"Start Date: 3/17
When: Lunch 11:00 AM – 1:00 PM 
Where: Cafeteria
Details: Lunch will be served on a to-go basis for students and families to pick up at Cafeteria. 
",
Brady ISD,March 16-20,,,https://www.bradyisd.org
Brazos ISD,March 16- April 3,Curbside Meal Pickup,"Starts: 3/25                                                                                                                                                                                                                When: 11:30 AM - 1:00 PM                                                                                                                                                                                                     Where: High School cafeteria pakring lot 
Instructions: Any questions contact the Director of Food Serivce: Linda Pustejovsky at lpustejovsky@brazosisd.net",
Brazosport ISD,March 16-April 10,"Curbside Meal Pickup (Breakfast & Lunch) and                                                                                                                                                                                                                    ""On the Move"" Bus Meal Service","Starts: 3/16                                                                                                                                                                                                                When: 10:00 AM - 2:00 PM                                                                                                                                                                                                  Where: TW Ogg Elementary, Velasco Elementary, Ney Elementary

The ""Meals on the Move"" bus will follow this schedule: 
Meals on the Move Bus #1
SFA in Jones Creek 10:30-11:00 am
Northgate Apartments in Freeport 11:15-11:40 am
Ave J Apartments in Freeport 11:45 am-12:30 pm
Madge Griffith Elementary in Clute 1:00-1:30 pm
Pearl at Oyster Creek Apartments in Lake Jackson 1:40-2:00 pm

Meals on the Move Bus #2
Polk Elementary 10:00 am-10:20 am
Corner of Stratton Ridge and 288b (parking lot) 10:35-11:00 am
Freeport Elementary 11:30-11:50 am
Freeport Intermediate 12:10-12:30 pm

Oyster Creek, old carwash on 523 across from Sorrel 11:30 am - 12:00 pm.",https://www.brazosportisd.net/news/what_s_new/b_i_s_d_provides_free_meals_for_anyone_18___under
Bremond IS,March 16-20,,,https://www.bremondisd.net/
Brenham ISD,March 16-April 3,Curbside Meal Pickup (Breakfast & Lunch),"Start Date: 3/16                                                                                                               When: When: varies by location                                                                                                                                                                                        Where: 
Alton Elementary School (1210 S. Market St, Brenham, TX)
11:00 a.m. to 12:00 p.m.
Brenham High School (525 A.H. Ehrig Dr, Brenham, TX)
11:00 a.m. to 1:00 p.m.
Goodwill Missionary Baptist Church (9180 Texas Highway 105, Brenham, TX)
11:30 a.m. to 12:30 p.m.
Instructions: Families will not need to exit their vehichle, district staff will deliver food to vehicle. Children must be present in the vehicle to receive meals",
Broaddus ISD,March 16-20,,,https://www.broaddusisd.com/article/209057?org=district
Brookesmith ISD,March 16-20,,,https://www.brookesmithisd.net
Brooks County ISD,March 16-20,Curbside Meal Pick-up (Breakfast and Lunch),"Start Date: 3/16
When: Breakfast & Lunch 9:30 AM – 1:00 PM
Where: Falfurrias Junior High Campus
Details: To ensure we have accurate numbers of meals needed, please call or text with count of meals needed to (361) 474-3018 or order online at Online Form on Sunday, March 15 from 8:00 AM to 8:00 PM. Meals will be given to children 18 and younger. One meal per child. BCISD asks parents or guardians to please stay in their vehicle while picking up meals
",https://irp-cdn.multiscreensite.com/8be43fb4/files/uploaded/Brooks%20County%20ISD%20Offers%20FREE%20Curbside%20Meals%20to%20Children%2018%20and%20younger%20message.pdf
Brownsboro ISD,March 16-20,,,
Brownsville ISD,March 16-20,,,
Brownwood ISD,March 16-20,,,https://www.brownwoodisd.org/covid19
Bruceville- Eddy ISD,March 16-20,,,
Big Springs Charter School System / Brune ,March 16-20,"Yes, unspecified","If you are in need of nutrition for your student, please reach out to us to make arrangmenets as we can provide meals for your convenience. ",https://www.facebook.com/247033878668322/photos/pcb.3100481409990207/3100480443323637/?type=3&theater
Bryan ISD,March 16-April 10,Curbside Meal Pickup (Lunch Only),"When: Lunch 11:00 AM  - 1:00 PM                                                                                                                                                                                  Where: Bryan High School, Long Intermediate, Jones Elementary, and Kemp-Carver Elementary
Details:  1 lunch and 1 breakfast per child will be provided",https://www.bryanisd.org/apps/pages/index.jsp?uREC_ID=1694662&type=d&pREC_ID=1853658
Buffalo ISD,March 16-20,Curbside Meal Pickup (Breakfast & Lunch)                                                                                                                                                                                                                   ,"Start Date: 3/16
When: Breakfast 7:30 AM – 8:30 AM ; Lunch 11:30 AM – 1:00 PM
Where: West Patio at Buffalo Lower Junior High
",http://www.buffaloisd.net/
Bullard ISD,March 16-20,,,https://www.bullardisd.net/
Burleson ISD,"March 23 -27
March 30 - April 3","Curbside Meal Pickup
(Breakfast & Lunch)","Start Date: 3/16
When: 10:00 AM - 2:00 PM
Where: Brock, Taylor, and Norwood
Details:  Burleson ISD will provide free, curbside ""brunch bags"" which include breakfast and lunch, to all BISD students in vehicles at the listed locations, during the listed time. More information and updates will continue on the BISD website.
*Please contact ejones@bisdmail.net with questions",http://bit.ly/burlesonisdhealthupdate.
Burnet CISD,March 23-April 3,Pending,,https://www.burnetcisd.net/apps/news/article/1190129
Caddo Mills ISD,March 16-20,,,
Calvert ISD,March 16-20,Walk-In Meal Pickup (Breakfast & Lunch),"Start Date: 3/17
When: Breakfast & Lunch 10:00 AM – 12:00 PM
Where: Highschool Cafeteria
",http://www.calvertisd.com/
Cameron ISD,March 16-20,,,
Canutillo ISD,March 23-April 4,Walk-Up Meal Pickup (Breakfast and Lunch),"Start Date: 3/23
When: Breakfast 7:00 AM – 9:00 AM ; Lunch 11:00 AM – 1:00 PM
Where: Canutillo High School, Bill Childress Elementary, Garcia Elementary, Canutillo Elementary
Details: Canutillo ISD will serve free breakfast and lunch for any child ages 1-18 in El Paso. 
",http://www.canutillo-isd.org/COVID19 
Carlisle ISD,March 16-20,,,https://www.carlisleisd.org/
Carroll ISD,March 16- April 3,Meal Delivery (Lunch),"**Meals are only provided for students who receive free or reduced lunch**
Start Date: 3/16
When: 11:00 AM - 12:30 PM
Details: Carroll ISD students enrolled in the Free & Reduced Lunch Program will still have the option of receiving their daily lunch benefit. An email order form has been sent to each eligible family to request meals each day. Meals will be delivered directly to your door. Should you have questions, please direct them to the Child Nutrition Department at (817) 949 - 8240",https://www.southlakecarroll.edu/Page/3170
Carrollton-Farmers Branch ISD,March 16- April 3,Meal Pickup (Lunch Only),"Start Date: 3/16                                                                                                                                                                                                                                                                     When: Lunch 11:00 AM - 12:30 PM                                                                                                                                                                                                                                      Where: Creekview, Newman Smith, Ranchview and Turner High Schools. 
Details:  Free meals will be provided for any CFBISD student. Please be prepared to provide your student's id number that would normally be provided at their home campus cafeteria. Enter through the door that will be designated at each campus to pick up a meal. Grab and Go meals will be for pick up only. No meals will be served in the cafereria.",https://cfbisd.edu/covid19/grab-go-meals/
Castleberry ISD,March 16- April 6,,,
Cedar Hill ISD,March 16-20,Meal Pickup (Breakfast & Lunch),"When:  March 16 through Friday March, 20; Breakfast 7:30 AM - 8:30 AM; Lunch 11:00 AM - 1:00 PM                                                                                                                                                                        Where: Plummer Elementary (Door #3), High Pointe Elementary (Door #1), Bessie Coleman Middle School (Door # 15), Cedar Hill High School (Door # 12)                                                                                                               Details:  Grab and Go Meals are for anyone under the age of 18",
Celina ISD,March 16-20,,,
Centerville ISD,March 16-20,,,https://www.centerville.k12.tx.us/264221_2
Central Heights ISD,March 16-20,,,https://www.centralhts.org/
Channelview ISD,March 16-April 10,Curbside Meal Pickup (Breakfast & Lunch),"When: Monday, Wednesdays, Fridays from 10:00 AM - 1:00 PM 
Where:  Early Childhood Center (NEW), Harvey Brown Elementary (NEW), and McMullan Elementary (NEW), DeZavala Elementary, Crenshaw Elementary, Hamblen Elementary
Details: Children will now receive two breakfasts and two lunches at each pick up ",https://www.cvisd.org/site/default.aspx?PageType=3&DomainID=4&ModuleInstanceID=148&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=23309&PageID=1
Chappel Hill ISD,March 16-20,,,
Charlotte ISD,March 16-20,Grab and Go,"Start Date: 3/17
When: Breakfast & Lunch 9:00 AM – 12:00 PM
Where: High School Cafeteria Gate
Details: The child must be present to receive the meal but an ID number is not required. ",http://www.charlotteisd.net/
Chilton ISD,March 16-20,Walk-In Meal Pickup (Breakfast & Lunch),"Start Date: 3/16
When: Breakfast 7:30 AM – 8:30 AM ; Lunch 11:30 AM – 12:30 PM
Where: District Cafeteria
Details: All meals will be packaged to go in the district cafeteria.  Please understand that all individuals entering the building to pick up breakfast and/or lunch will be required to sanitize hands prior to entering the district cafeteria.  No students will be allowed to eat in the district cafeteria.
",https://www.chiltonisd.org/article/209605?org=chilton-isd&fbclid=IwAR0e7qduFWUiXRvx86nmNuUV182G7LCCcdUoMLo3aGUxufxtnhZGjbVaNrk
China Spring ISD,March 16-20,,,
Chisum ISD,March 16-20,Walk-In Meal Pickup (Breakfast & Lunch),"Start Date: 3/17
When: Breakfast & Lunch 7:30 AM – 9:30 AM (Chisum Elementary) ; Breakfast & Lunch 9:00 AM – 11:00 AM (Roxton City Hall)
Where: Chisum Elementary and Roxton City Hall
Details:  Any student 18 years or younger, regardless of their district residence, may receive a FREE Breakfast and Lunch while school is out! Both meals will be received at one service time each day.  Meals will be packed for pick up so they can be consumed in the home. For any questions, please contact, Wanda Armstrong, Child Nutrition Director at (903)-669-8497 or warmstrong@chisumisd.org
",https://chisumisd.org/
Christoval ISD,March 16-20,,,https://christovalisd.org
Clarksville ISD,March 16-20,,,https://www.clarksvilleisd.net/
Clear Creek ISD,March 16-April 10,Curbside Meal Pickup (Breakfast & Lunch),"Start Date: 3/17
 When: 11:00 AM - 1:00 PM Monday and Thursday 
 Where: Greene Elementary, League City Elementary, McWhirter Elementary, Stewart Elementary, & Whitcomb Elemntary.
 Details: Monday’s pickup will include lunch and breakfast through Thursday morning. Thursday’s pickup will include lunch and breakfast through Saturday breakfast. Parents can drive up to the front entrance of the campuses below to receive a meal for each child that is present in the vehicle. ",https://www.ccisd.net/news/2019-20_district_news/drive_through_meals_for_students
Cleburne ISD,March 23 -27,Walk-In Meal Pickup (Breakfast & Lunch),"Start Date: 3/23
When: Breakfast 7:00 AM – 8:30 AM ; Lunch 11:00 AM – 1:00 PM 
Where: C.C.Cooke Elementary School (902 Phillips) and the CISD Child Nutrition Office (218 N. Ridgeway)
Details:  Families must make reservations for the lunch service by 9 a.m. each day. Please call the Child Nutrition Office at 817-202-1123
",
Cleveland ISD,March 16- April 10,Curbside Meals (Breakfast & Lunch),"Start Date: 3/16
 When: 9:00 AM - 11:00 AM
 Where: Cleveland Middle School and Montebello Park
 Details:  Enter thru the back drive/Student Drop-Off. Our PD is there to give direction. CHILDREN MUST be in the vehicle to receive the meals",https://www.clevelandisd.org/
Clifton ISD,March 16-20,,,
Clint ISD,March 23-April 4,,,https://www.clintweb.net/site/default.aspx?PageType=3&DomainID=4&ModuleInstanceID=40&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=11352&PageID=1
Coleman ISD,March 16-20, Meal Pickup (Breakfast & Lunch),"Start Date: 3/17
When: Breakfast 7:30 AM – 8:30 AM ; Lunch 11:30 AM – 12:30 PM 
Where: Softball Field
Details:  Call on 3-16 by 2pm to sign up
",https://www.colemanisd.net
College Station ISD,March 16-April 10,Walk-In Meal Pickup (Lunch Only),"Start Date: 3/16
 When: 11:00 AM - 1:00 PM
 Where: South Knoll, College Hills, Southwood Valley, River Bend and Oakwood
 Details: Students who pick up a lunch will also receive a breakfast in a bag for the following day.",https://www.facebook.com/csisd/
Columbia-Brazoria ISD,March 16-20,Pending,,
Como ISD,March 16-20,Pending,will also have a plan in place by that same day to provide breakfast and lunches for our students who need them.,https://www.cpcisd.net/article/210394?org=cp-cisd
Connally ISD,March 13-27,Curbside Meals (Breakfast & Lunch),"Start Date: 3/17
When: Breakfast 8:00 AM – 9:00 AM ; Lunch 11:00 AM – 12:30 PM
Where: Connally Elementary School (300 Cadet Way, Waco, TX 76705), Lacy Lakeview Civic Center (505 E. Craven, Waco, TX 76705 Brazos), Village Apartments (2525 Lakeshore Drive, Waco, TX 76705),  Chalk Bluff Baptist Church (5993 Gholson Rd, Waco, TX 76705)
Details: One meal per child and CHILD MUST BE PRESENT to receive a meal! For all parents picking up meals, each child must be in your vehicle in order to receive a meal. 
",https://www.connally.org/
Conroe ISD,March 16-April 10,Curbside Meal Pickup (Lunch Only),"Start Date: 3/16
 When: 10:00 AM - 1:00 PM Tuesday & Thursday 
 Where: Austin Elementary, Caney Creek High School, Conroe High School, Grand Oaks High School, Hauke High School, Knox Junior High, Oak Ridge High School, The Woodlands College Park High School, The Woodlands High School, and Washington Junior High.",https://www.conroeisd.net/alert/conroe-isd-closed-march-16-20/
Cooper ISD,March 16-20,,,https://www.cooperisd.net/
Coppell ISD,March 16-20,"Curbside Meal Pickup 
(Lunch)","Start Date: 3/17
When: 11:00 AM - Noon
Where: Austin Elementary, Town Center Elementary, Valley Ranch Elementary and Wilson Elementary
Details: Students aged 18 and younger at any CISD campus can pick up a free meal at any of these four locations.Families can choose the location most convinient to them. We ask that you remain in your car to pick up your meal, and the student must be present to receive a meal. Feel free to walk or ride your bike also to pick up meals at any of the four locations",https://www.coppellisd.com/site/default.aspx?PageType=3&ModuleInstanceID=18787&ViewID=7b97f7ed-8e5e-4120-848f-a8b4987d588f&RenderLoc=0&FlexDataID=33998&PageID=1&fbclid=IwAR0QE4nA_xZ7SqIj2qyVvIaAZFEhcOGAauXKWoEAGIy_VDZkK8_I75QvuiA
Copperas Cove ISD,March 16-20,,,
Corsicana ISD,March 16- April 3,"Curbside Meal Pickup
(Breakfast & Lunch)","Start Date: 3/16
When: 10:00 AM - Noon
Where: Corsicana High School, Collins Intermediate, Sam Houston, Bowie, Fannin, Navarro, Carroll, and Travis location. In addition, buses will arrive at St. John’s Episcopal Church, Northside Baptist Church, Greater Love Church, MLK Center, Believers Bible Church, Catholic Church, and YMCA.
Details:  Food distribution locations have been established to serve breakfast and lunch to all Corsicana Independent School District (CISD) students. School buses will arrive at the following locations and CISD staff will distribute food from parking lots to any CISD student. Locations may be adjusted depending on student needs. Information will be available on the CISD website.",https://www.cisd.org/site/default.aspx?PageType=3&ModuleInstanceID=20698&ViewID=7b97f7ed-8e5e-4120-848f-a8b4987d588f&RenderLoc=0&FlexDataID=39320&PageID=14204
Crockett ISD,March 16-20,,,https://www.crockettisd.net/
Crockett County CCSD,March 16-17,,,http://www.ozonaschools.net
Crosby ISD,March 16-April 10,Curbside Meal Pick up,"Start Date: 3/26
When: Wednesday 3/1
Where: Drew Elementary & Crosby High School
Details: a weeks worth of food will be provided on pick up. Children must be in vehicle. ",
Crowley ISD,March 16-27,Grab and Go,"Start Date: 3/16 (Monday-Friday)
When: Breakfast 7:30 AM – 9:00 AM ; Lunch 11:00 AM – 1:00 PM; Dinner 4:30 PM-6:00 PM 
Where: Student’s school campus (Reference specific locations by clicking on link)
Details: All children 18 and younger will be served. No student ID required. Children do not have to be students at the campus to receive a free meal, and families can visit any of the participating sites. Meals will be served in a drive-thru fashion. Families will not be allowed to congregate or come inside the buildings to help prevent the spread of COVID-19.",https://www.crowleyisdtx.org/covid19?fbclid=IwAR0-i1a9pZ_JURfBIrZ0W3yxjJ0T9opR4p5VU_jXQg68mAHdk-bHESfCy_c
Crystal City ISD,March 16-20,Grab and Go,"Start Date: 3/16
When: Breakfast 7:30 AM – 8:30 AM ; Lunch 11:30 AM – 1:00 PM
Where: Student’s school campus
",https://www.crystalcityisd.org/apps/news/article/1185413
Cumberland Academy ,March 16-20,,,http://www.cumberlandacademy.com/
Cumby ISD,March 16-20,,,https://www.cumbyisd.net/218663_2?articleID=50351
Cushing ISD,March 16-20,,,https://www.cushingisd.org/
