Agency,Type,Date & Time of Operations,COVID Operating Hours- If changed,Office Phone #,Website,Zip Code,Full Address,Services Offered
St. Matthias Catholic Church Society of St. Vincent de Paul  ,Pantry   ,Friday 10:00 am - 1:30 pm,,(281) 259-7300,http://www.st-matthias.net/st-vincent-de-paul.org,77355,"302 Magnolia Boulevard, Magnolia, Texas, 77355","Food Pantry, Perishable Items"
The Local Church (TLC),Pantry   ,"Monday-Thursday
10am - 1pm",Wednesday Only,(936) 856-8317,https://www.facebook.com/TLCFoodPantry/,77378,"110 West Montgomery St., Willis, Texas, 77378",
The Way Church Food Pantry,Pantry   ,Every +Other Wednesday 2xmo 10:00 - 2:30 (closed 30 minutes for lunch),Closed for March,(281) 681-8922,waychurch.org,77386,"24418 I 45 North, Spring, Texas, 77386",
West Conroe Baptist,Pantry   ,Wednesday  10am - 1:00pm,,(936) 760-1911,http://www.wcbc.us/,77304,"1855 Longmire Road, Conroe, Texas, 77304",
Wildwood,Pantry   ,"Thursdays, 10am to 12:30pm",,(832) 934-0100,http://www.wildwoodmethodist.com/,77354,"8911 Farm to Market Rd 1488, Magnolia, Texas, 77354",
Willis Parent Center ,Pantry   ,,,(936) 856-5691,,77378,"606 N. Campbell St., Willis, Texas, 77378",
YMCA Outreach ,Pantry   ,Thursday,"Pantry Hours:  Tuesdays, 4:00 p.m. - 7:30 p.m.",(281) 681-6702,ymcahouston.org, 77381,"6145 Shadowbend Place, The Woodlands, Texas,  77381","Food Pantry, Baby Supplies, School Supplies, Case Management Services, Hygiene Items , Clothing"
MLK Center,Mobile Pantry ,every wednesday  7:30am-GONE,,(936) 263-1475,,77301,"603 S. 6th Street, Conroe, Texas, 77301",Food Pantry
Compassion United - Terry's Table,Pantry   ,"1st, 3rd Thursdays, 9 a.m. - 11:30 a.m.","Monday, Tuesday, Wednesday and Friday, 11 a.m. - 2 p.m.  First, Third and Fifth Thursdays, 9 a.m. - 12:00 p.m.  Second and Fourth Thursdays Closed (as long as Groceville Baptist remains open).  Saturday 10 a.m. - 4 p.m.  Sunday Closed.",(936) 443-5430,compassionunited.us/foodpantry,77303,"18856 FM 1484 Rd.,  Cut n Shoot, Texas, 77303","Food Pantry, Hygiene Items "
First Montgomery Baptist Church,Mobile Pantry ,"Mobile, TBD",,,office@firstmontgomery.org,77356,"20423 Eva Street, Montgomery, Texas, 77356",
Tamina Community Center,Pantry   ,,,(281) 465-4646,taminacommunitycenter@yahoo.com,77385,"18963 Main Street, Conroe, Texas, 77385",
Abundant Harvest at St. Isidore Episcopal,Mobile Pantry ,"Pantry Hours:  Monday-Friday, 11:00 a.m. - 3:00 p.m.   Mobile pantries continue at Tamarac Pines, River Oaks, and King's Colony",,(936) 689-7177,www.harvestkitchen.org,77386,"24803 Oakhurst Drive, Spring, Texas, 77386",
Compassion United- CHOP,Meal Site,,,,,77303,"18856 FM 1484 Rd., Conroe,  Cut n Shoot, Texas, 77303",
